"Faction","X","Y"
"Neutral","3063","-1542"
"Neutral","1913","-1085"
"Neutral","36","565"
"Neutral","3103","1604"
"Neutral","-2514","310"
"Neutral","13","-360"
"Neutral","1811","-2276"
"Neutral","1074","1379"
"Neutral","2908","1426"
"Neutral","1731","-1152"
"Neutral","1315","1953"
"Neutral","-1445","-662"
"Lycentian","-464","-908"
"Neutral","1530","1293"
"Neutral","1007","-2600"
"Neutral","-1484","1864"
"Lycentian","-774","-456"
"Neutral","-2108","458"
"Neutral","2585","16"
"Foralkan","1023","-342"
"Neutral","3356","941"
"Kavani","451","776"
"Neutral","-2103","1496"
"Neutral","-971","1855"
"Neutral","1094","-1401"
"Neutral","344","594"
"Neutral","2617","-959"
"Neutral","2471","916"
"Neutral","-666","201"
"Neutral","-1931","2210"
"Neutral","-951","621"
"Neutral","-974","1817"
"Neutral","-2488","-320"
"Neutral","-703","258"
"Neutral","-1300","-281"
"Neutral","2075","1406"
"Neutral","663","2237"
"Syndicate","-1810","849"
"Neutral","3081","753"
"Neutral","1594","156"
"Neutral","-2085","-1609"
"Neutral","2366","-498"
"Neutral","1985","716"
"Neutral","26","2938"
"Neutral","1136","-2149"
"Lycentian","-336","-482"
"Neutral","-2039","876"
"Neutral","3176","-1481"
"Neutral","176","2905"
"Neutral","-770","881"
"Kavani","865","1129"
"Foralkan","1201","-1046"
"Neutral","3200","1027"
"Neutral","1322","-2626"
"Neutral","1744","-1834"
"Neutral","2812","69"
"Neutral","2702","1734"
"Neutral","-1060","826"
"Neutral","-2068","2254"
"Neutral","1789","458"
"Neutral","-1426","-2584"
"Neutral","124","2065"
"Neutral","3046","-899"
"Neutral","2316","-1333"
"Neutral","1013","1381"
"Neutral","2169","2409"
"Neutral","-1321","-2471"
"Neutral","-530","-2321"
"Neutral","880","1087"
"Neutral","-2130","1454"
"Lycentian","-816","-490"
"Neutral","-921","1117"
"Neutral","1753","485"
"Neutral","-205","1004"
"Neutral","2778","1883"
"Neutral","-244","562"
"Neutral","2669","1789"
"Neutral","-721","1083"
"Neutral","-294","-1179"
"Neutral","-172","-1511"
"Neutral","-1531","-1320"
"Neutral","547","-2426"
"Neutral","-1457","-2242"
"Neutral","-514","1733"
"Kavani","262","1386"
"Neutral","1191","-1454"
"Neutral","1176","2656"
"Neutral","-2576","-137"
"Neutral","737","514"
"Neutral","-57","-443"
"Neutral","2547","-1203"
"Neutral","920","-1240"
"Neutral","2115","-355"
"Neutral","-1515","-1286"
"Neutral","-1470","2560"
"Neutral","-2110","-21"
"Neutral","-1279","982"
"Neutral","1182","230"
"Neutral","-1707","-2196"
"Neutral","2166","1858"
"Neutral","1423","1573"
"Neutral","2048","1339"
"Lycentian","-823","-752"
"Neutral","2256","1007"
"Neutral","-1968","2725"
"Neutral","3185","-796"
"Neutral","-588","2398"
"Neutral","1486","2331"
"Foralkan","628","-501"
"Neutral","-249","3151"
"Neutral","-1266","875"
"Neutral","-1270","-1859"
"Neutral","1642","-379"
"Neutral","-1386","1652"
"Neutral","1146","-2191"
"Neutral","2993","-111"
"Neutral","-646","-2701"
"Neutral","-2572","-1532"
"Neutral","404","329"
"Neutral","-1910","2318"
"Neutral","-1437","-1361"
"Foralkan","700","-546"
"Neutral","-1043","2312"
"Neutral","-115","789"
"Neutral","-1566","2598"
"Neutral","-754","-2036"
"Neutral","2261","1680"
"Neutral","-1868","1980"
"Neutral","-553","1590"
"Neutral","-2514","1792"
"Neutral","-1124","697"
"Neutral","-1301","-2549"
"Neutral","537","-2953"
"Neutral","3179","768"
"Neutral","-721","1796"
"Neutral","-2003","637"
"Neutral","-1717","-498"
"Neutral","2598","-2352"
"Lycentian","-483","-168"
"Neutral","-244","851"
"Neutral","636","2195"
"Neutral","-2312","-241"
"Neutral","-208","1380"
"Neutral","62","1743"
"Neutral","2203","2395"
"Neutral","-97","-1924"
"Neutral","3019","-303"
"Neutral","-1791","599"
"Kavani","623","804"
"Neutral","-2519","-119"
"Neutral","1168","1024"
"Neutral","2757","-710"
"Neutral","-1851","1891"
"Neutral","2182","458"
"Neutral","186","3078"
"Neutral","3429","-235"
"Neutral","-1289","1407"
"Neutral","611","3234"
"Neutral","-865","-1102"
"Neutral","-996","142"
"Neutral","-2205","-120"
"Neutral","1952","2635"
"Lycentian","-849","112"
"TradeUnion","705","185"
"Neutral","-2410","-2135"
"Neutral","-530","-2779"
"Neutral","-1000","2195"
"Neutral","2844","1178"
"Neutral","-1088","2729"
"Foralkan","1197","-580"
"Neutral","-2656","-1464"
"Kavani","775","1001"
"Neutral","2823","1455"
"Foralkan","1069","-583"
"Neutral","1088","-1489"
"Neutral","2514","2554"
"Neutral","-213","2447"
"Neutral","3344","385"
"Neutral","859","-1631"
"Neutral","-2745","1238"
"Neutral","-1410","-1105"
"Neutral","837","983"
"Neutral","1294","-1732"
"Neutral","-1868","2677"
"Neutral","920","-1518"
"Neutral","2191","1006"
"Neutral","-648","1479"
"Neutral","-2780","1106"
"Neutral","-1471","2267"
"Neutral","1457","-2429"
"Neutral","-149","1028"
"Neutral","-2256","-246"
"Neutral","-1347","-1143"
"Neutral","-282","165"
"Neutral","3043","20"
"Neutral","471","3183"
"Neutral","928","2815"
"Neutral","-1451","3107"
"Neutral","2922","779"
"Neutral","260","3310"
"Lycentian","-404","-459"
"Kavani","-4","1445"
"Neutral","2741","929"
"Neutral","1533","-508"
"Neutral","2621","1402"
"Neutral","24","-866"
"Neutral","1757","-671"
"Neutral","1150","231"
"Neutral","933","220"
"Neutral","-1540","-1367"
"Neutral","-720","-2912"
"Neutral","-1399","-49"
"Neutral","-856","2678"
"Lycentian","-748","-571"
"Lycentian","-679","64"
"Neutral","2809","162"
"Neutral","2670","1281"
"Neutral","1279","2555"
"Neutral","753","2344"
"Neutral","1012","398"
"Neutral","951","-132"
"Neutral","841","1660"
"Neutral","-1201","2425"
"Neutral","2717","-2309"
"Neutral","1632","3111"
"Neutral","1073","-2810"
"Neutral","-1670","-334"
"Neutral","1396","3061"
"Neutral","1654","2669"
"Neutral","-553","3297"
"Neutral","-1592","-2355"
"Neutral","2091","-1921"
"Neutral","-680","-2072"
"Neutral","-1884","-2198"
"Neutral","1069","2750"
"Neutral","-1037","1362"
"Neutral","-881","-1198"
"Neutral","1006","1914"
"Neutral","-2535","546"
"Neutral","-1525","-135"
"Neutral","1374","1496"
"Kavani","288","1063"
"Neutral","-1729","1150"
"Neutral","130","-1666"
"Neutral","2435","155"
"Neutral","2213","-1184"
"Neutral","654","-2156"
"Neutral","-966","-1819"
"Neutral","2916","-932"
"Kavani","-33","1387"
"Neutral","-2500","-988"
"Neutral","-30","-3143"
"Lycentian","-678","-548"
"Neutral","448","374"
"Kavani","393","1096"
"Neutral","924","-2879"
"Neutral","-1684","1398"
"Neutral","2515","-1184"
"Neutral","-67","-1517"
"Neutral","-1794","-2083"
"Neutral","-206","1330"
"Neutral","-579","928"
"Neutral","-2416","-464"
"Neutral","105","-2389"
"Neutral","594","2955"
"Neutral","2517","-2167"
"Neutral","-1120","3052"
"Neutral","-2998","217"
"Neutral","3029","121"
"Neutral","-1001","-2422"
"Neutral","1848","427"
"Neutral","1879","-1647"
"Neutral","2892","596"
"Lycentian","-220","-503"
"Neutral","-2167","113"
"Neutral","-548","-1220"
"Kavani","173","1535"
"Neutral","610","3490"
"Foralkan","934","-882"
"Neutral","-16","-475"
"Neutral","2214","-1030"
"Neutral","2166","1456"
"Lycentian","-364","-668"
"Neutral","-2094","307"
"Neutral","-81","-497"
"Neutral","-483","2880"
"Neutral","-1102","2104"
"Neutral","1872","1195"
"Neutral","731","2640"
"Neutral","-1090","1456"
"Neutral","1944","2056"
"Neutral","1133","-175"
"Neutral","2196","-351"
"Neutral","1512","1787"
"Neutral","-1082","-1339"
"Neutral","1004","2953"
"Neutral","-182","-1836"
"Neutral","1671","1436"
"Neutral","-1683","-1620"
"Neutral","-1096","-2035"
"Neutral","-968","-1966"
"Neutral","561","2833"
"Neutral","-716","2332"
"Neutral","2546","-25"
"Neutral","-1204","-92"
"Neutral","1522","152"
"Neutral","-1621","-1635"
"Lycentian","-867","-579"
"Neutral","-1543","-96"
"Foralkan","1237","-565"
"Neutral","2131","-1879"
"Neutral","-579","417"
"Neutral","-525","3334"
"Neutral","741","-2615"
"Neutral","145","5"
"Neutral","-322","-1268"
"Lycentian","-769","-598"
"Neutral","1088","490"
"Foralkan","1089","-1161"
"Neutral","1772","-2073"
"Neutral","204","-1334"
"Neutral","180","-2614"
"Neutral","-950","587"
"Lycentian","-334","-409"
"Neutral","-2812","1"
"Neutral","-224","-2344"
"Neutral","-2568","1269"
"Foralkan","1364","-1133"
"Neutral","-587","3395"
"Lycentian","-579","-933"
"Neutral","-1264","1056"
"Neutral","685","1481"
"Neutral","1013","-1519"
"Neutral","-1975","2237"
"Neutral","1615","-1211"
"Neutral","-1058","1921"
"Neutral","30","95"
"Foralkan","855","-772"
"Neutral","-979","-1897"
"Neutral","2553","-751"
"Neutral","2714","1809"
"Neutral","-862","834"
"Neutral","2157","1064"
"Foralkan","1264","-481"
"Neutral","1517","-1312"
"Foralkan","1169","-1037"
"Neutral","1194","884"
"Neutral","535","-1392"
"Neutral","-1101","-781"
"Neutral","1167","1432"
"Neutral","-320","-1227"
"Neutral","-1644","-727"
"Neutral","-901","-2210"
"Neutral","1441","1288"
"Neutral","-243","2413"
"Neutral","1478","977"
"Neutral","462","2438"
"Neutral","880","1587"
"Neutral","-2221","1874"
"Neutral","2341","-169"
"Neutral","282","515"
"TradeUnion","736","247"
"Neutral","578","3189"
"Neutral","-130","1322"
"Neutral","1514","120"
"Neutral","-715","-1640"
"Neutral","-2652","353"
"Neutral","214","2416"
"Neutral","-50","2893"
"Neutral","1084","-2855"
"Neutral","-2222","-1615"
"Neutral","-129","1355"
"Neutral","-334","-1059"
"Neutral","80","1785"
"Neutral","-450","-2701"
"Neutral","-168","2005"
"Neutral","-1444","-1731"
"Neutral","-1283","926"
"Neutral","-2286","292"
"Neutral","-1818","2483"
"Neutral","-323","562"
"Neutral","-2713","381"
"Neutral","2999","-1332"
"Neutral","1264","2252"
"Neutral","402","2072"
"Neutral","-1059","862"
"Neutral","2360","-1430"
"Neutral","-1159","-987"
"Neutral","-2433","1211"
"Neutral","124","-1620"
"Neutral","-1835","-911"
"Neutral","-1757","253"
"Neutral","805","551"
"Neutral","-1260","288"
"Syndicate","-1717","888"
"Neutral","2117","-1439"
"Neutral","-1099","2215"
"Neutral","230","1984"
"Neutral","-495","-2103"
"Neutral","3405","325"
"Neutral","2801","388"
"Neutral","2541","1636"
"Neutral","-1091","-1250"
"Neutral","2147","765"
"Neutral","1391","2596"
"Neutral","-301","2262"
"Neutral","1470","1320"
"Neutral","2582","-312"
"Foralkan","668","-483"
"Neutral","1030","2056"
"Neutral","2111","1092"
"Neutral","-282","1276"
"Foralkan","1078","-372"
"Neutral","964","-1539"
"Neutral","3294","-644"
"Neutral","2161","-510"
"Neutral","-712","2876"
"Neutral","2644","-2296"
"Neutral","-1664","-2300"
"Neutral","-689","-2567"
"Neutral","-735","-1308"
"Neutral","2425","821"
"Neutral","-30","2241"
"Neutral","-1663","-2226"
"Neutral","-1072","-2492"
"Neutral","-1923","-1514"
"Foralkan","773","-1065"
"Foralkan","932","-966"
"Neutral","704","-691"
"Neutral","-2163","1941"
"Neutral","-3069","496"
"Neutral","-2787","927"
"Neutral","-1224","255"
"Neutral","1232","1020"
"Neutral","-137","196"
"Neutral","1391","2099"
"Neutral","2617","-2086"
"Neutral","1330","449"
"Neutral","2545","-1661"
"Neutral","2408","2796"
"Neutral","-215","118"
"Neutral","1086","1061"
"Neutral","-838","2731"
"Kavani","554","798"
"Neutral","1394","1385"
"Neutral","-1480","-2171"
"Neutral","-1339","701"
"Neutral","953","3450"
"Neutral","-532","2341"
"Neutral","323","3509"
"Neutral","2707","-23"
"Neutral","-972","234"
"Neutral","-738","-2095"
"Neutral","-1146","-1340"
"Neutral","207","2322"
"Neutral","2061","753"
"Neutral","708","531"
"Neutral","-1116","1430"
"Neutral","-649","2235"
"Kavani","429","1117"
"Neutral","-323","-1877"
"Foralkan","996","-1242"
"Neutral","1430","1169"
"Neutral","-2102","1640"
"Neutral","2658","4"
"Neutral","2401","1624"
"Neutral","-2076","1122"
"Neutral","1384","-2010"
"Neutral","211","721"
"Neutral","178","-2016"
"Neutral","-2872","502"
"Neutral","214","-566"
"Neutral","-2714","824"
"Neutral","1427","-1205"
"Neutral","-379","2832"
"Neutral","-1087","1502"
"Neutral","-709","-1846"
"Neutral","998","1882"
"Neutral","2161","-294"
"Neutral","-1754","-2072"
"Neutral","988","3068"
"Neutral","-1340","3037"
"Neutral","929","1683"
"Neutral","685","-2193"
"Neutral","-3135","127"
"Neutral","-318","1345"
"Neutral","308","1820"
"Neutral","790","504"
"Neutral","1833","-2234"
"Neutral","2855","417"
"Neutral","-330","2910"
"Foralkan","971","-409"
"Neutral","1861","-715"
"Neutral","-2014","142"
"Neutral","-2152","1496"
"Foralkan","1069","-305"
"Neutral","-600","2929"
"Neutral","1739","244"
"Neutral","-918","2062"
"Neutral","1275","-1980"
"Neutral","1420","409"
"Neutral","-1456","-2212"
"Neutral","-987","-705"
"Neutral","1041","-2826"
"Neutral","2978","1425"
"Neutral","560","-1843"
"Neutral","385","3069"
"Neutral","-1383","2422"
"Neutral","372","276"
"Neutral","-2215","1840"
"Neutral","-1353","1696"
"Foralkan","1336","-861"
"Neutral","2396","-672"
"Neutral","-303","2308"
"Neutral","1152","1506"
"Neutral","1230","1492"
"Neutral","2298","-1405"
"Neutral","2016","-199"
"Neutral","-76","-2879"
"Neutral","-913","641"
"Neutral","-1188","-965"
"Neutral","-1134","929"
"Neutral","-602","-2927"
"Neutral","2356","-32"
"Neutral","-2042","-1492"
"Neutral","738","-930"
"Lycentian","-496","-798"
"TradeUnion","785","281"
"Neutral","149","2664"
"Neutral","3188","1296"
"Neutral","1862","-641"
"Neutral","-2507","1722"
"Neutral","494","3063"
"Neutral","1051","2775"
"Neutral","-1008","656"
"Neutral","-1352","2382"
"Neutral","420","273"
"Neutral","-2798","542"
"Neutral","521","-95"
"Neutral","2549","2124"
"Neutral","-1021","1886"
"Neutral","1380","151"
"Neutral","2735","2157"
"Neutral","2467","1741"
"Neutral","542","3"
"Neutral","2627","-270"
"Neutral","-520","1116"
"Neutral","1375","578"
"Neutral","-118","1429"
"Neutral","2019","-2094"
"Neutral","-1126","1466"
"Neutral","-2045","1449"
"Neutral","1748","429"
"Neutral","1885","668"
"Neutral","1762","2996"
"Neutral","-637","-2748"
"Neutral","-3005","894"
"Neutral","-472","2948"
"Neutral","-3151","83"
"Neutral","-674","-1373"
"Neutral","3152","-1539"
"Neutral","592","-622"
"Neutral","597","177"
"Foralkan","1311","-1137"
"Neutral","2476","798"
"Syndicate","-1782","796"
"Neutral","2171","1487"
"Neutral","1142","1271"
"Neutral","2155","-1392"
"Neutral","2158","-1278"
"Neutral","-1815","2163"
"Neutral","2419","-1694"
"Neutral","1729","1509"
"Neutral","-2352","580"
"Neutral","-875","297"
"Neutral","-436","2854"
"Neutral","1951","2894"
"Neutral","1822","195"
"Neutral","-322","1087"
"Neutral","2547","47"
"Neutral","2498","2683"
"Neutral","3399","971"
"Foralkan","1261","-584"
"Neutral","143","455"
"Neutral","2578","-976"
"Neutral","2316","-1085"
"Neutral","-680","-2909"
"Neutral","-1792","1604"
"Neutral","-885","-2129"
"Neutral","-1862","-680"
"Neutral","-1020","-1158"
"Neutral","603","1683"
"Neutral","162","2358"
"Neutral","42","-1107"
"Neutral","2868","-603"
"Neutral","-1322","857"
"Neutral","-1437","-1439"
"Neutral","1345","498"
"Neutral","2797","172"
"Neutral","-228","2086"
"Neutral","219","2063"
"Neutral","-1740","1265"
"Neutral","935","1639"
"Neutral","-1009","536"
"Neutral","-2119","1836"
"Neutral","-1900","-583"
"Neutral","1487","85"
"Neutral","679","474"
"Neutral","-1330","-1335"
"Foralkan","668","-557"
"Neutral","2184","2048"
"Neutral","438","-2863"
"Neutral","-506","-1332"
"Neutral","-931","1717"
"Neutral","-2445","-224"
"Neutral","2340","274"
"Neutral","2402","1459"
"Neutral","2124","179"
"Neutral","-2012","2328"
"Neutral","-505","-2907"
"Neutral","123","1984"
"Foralkan","1407","-1044"
"Neutral","2843","140"
"Neutral","-3075","1082"
"Neutral","-2172","691"
"Neutral","-1463","-474"
"Lycentian","-540","-221"
"Neutral","-198","-120"
"Neutral","1009","328"
"Neutral","1497","2885"
"Neutral","2564","1349"
"Neutral","2264","-1388"
"Neutral","1642","-1821"
"Neutral","1721","1769"
"Neutral","2751","2217"
"Neutral","-1029","1009"
"Neutral","823","-2039"
"Neutral","823","2591"
"Neutral","2573","-1622"
"Neutral","-2125","-98"
"Neutral","555","2290"
"Neutral","1469","2924"
"Neutral","349","3488"
"Neutral","264","-435"
"Neutral","-1595","-2477"
"Neutral","-1262","-340"
"Neutral","-1238","1214"
"Neutral","-1744","-563"
"Neutral","472","-1933"
"Neutral","-2674","-1413"
"Neutral","153","-3110"
"Neutral","607","1816"
"Neutral","2260","377"
"Neutral","-86","1013"
"Neutral","98","-2507"
"Neutral","3382","672"
"Neutral","2893","-166"
"Neutral","-1956","412"
"Neutral","-667","-1974"
"Foralkan","798","-906"
"Neutral","2179","938"
"Neutral","-2467","1387"
"Neutral","-1191","2537"
"Neutral","-2347","1514"
"Neutral","264","-320"
"Neutral","194","-1615"
"Neutral","-1321","-1965"
"Neutral","1654","-293"
"Neutral","625","2574"
"Neutral","-359","3048"
"Neutral","-1911","-961"
"Neutral","347","519"
"Neutral","2751","962"
"Neutral","462","-2894"
"Neutral","239","-2512"
"Neutral","147","2537"
"Neutral","615","-897"
"Neutral","-2169","-367"
"Foralkan","724","-486"
"Neutral","-319","3379"
"Neutral","-529","-2876"
"Neutral","1495","952"
"Neutral","3131","-917"
"Neutral","-1339","1929"
"Neutral","2418","-644"
"Neutral","257","-520"
"Neutral","-733","-2646"
"Neutral","-703","1166"
"Neutral","-1102","-1834"
"Neutral","-2587","1513"
"Neutral","2156","250"
"Neutral","-1023","2679"
"Neutral","-107","3460"
"Lycentian","-714","-277"
"Neutral","-412","-1420"
"Neutral","1735","-2165"
"Neutral","-1773","1381"
"Neutral","1518","1737"
"Neutral","1733","1858"
"Neutral","-2764","-59"
"Neutral","627","77"
"Neutral","2277","1999"
"Neutral","668","-606"
"Neutral","135","-1151"
"Neutral","2269","-275"
"Neutral","1519","1248"
"Neutral","-1042","-1800"
"Neutral","-212","152"
"Neutral","-2481","308"
"Neutral","1800","-1766"
"Neutral","-1260","-2498"
"Neutral","1193","3485"
"Neutral","2234","68"
"Neutral","-1714","2543"
"Neutral","-208","1146"
"Neutral","-461","-1928"
"Neutral","100","2479"
"Foralkan","724","-793"
"Neutral","-1643","1024"
"Neutral","-1892","-693"
"Neutral","645","-2349"
"Neutral","2503","1569"
"Neutral","2489","-589"
"Neutral","-1266","-2557"
"Neutral","-945","2118"
"Neutral","-448","3298"
"Neutral","-1679","-1044"
"Neutral","1535","-1904"
"Neutral","-685","1793"
"Neutral","1133","258"
"Neutral","-1307","963"
"Neutral","2650","-177"
"Neutral","-84","-2697"
"Neutral","-3175","998"
"Neutral","-2152","-1789"
"Neutral","-377","3450"
"Neutral","1699","1685"
"Neutral","-1479","2654"
"Neutral","1904","2851"
"Neutral","-1183","-59"
"Kavani","535","1432"
"Neutral","2077","224"
"Neutral","1098","1253"
"Neutral","-1511","2602"
"Neutral","-1542","-482"
"Neutral","-302","-2317"
"Neutral","1871","-317"
"Neutral","-1094","-2132"
"Neutral","-2730","-1462"
"Neutral","1395","2047"
"Neutral","-2764","1272"
"Neutral","-1903","2229"
"Neutral","-1430","-2122"
"Neutral","-2027","706"
"Neutral","854","-2345"
"Neutral","-182","-866"
"Neutral","112","-3054"
"Neutral","1995","2547"
"Neutral","3127","1815"
"Neutral","1986","1135"
"Neutral","-637","312"
"Neutral","1472","1708"
"Neutral","-1112","-889"
"Neutral","3372","-569"
"Neutral","852","896"
"Neutral","2978","-1382"
"Neutral","-84","960"
"Kavani","-66","1431"
"Neutral","271","1823"
"Neutral","2697","-363"
"Neutral","-1573","-2054"
"Neutral","3115","811"
"Neutral","-2754","-518"
"Neutral","-2231","1234"
"Neutral","835","1804"
"Neutral","1368","1769"
"Neutral","-2514","-1365"
"Neutral","-158","912"
"Neutral","1701","-1321"
"Neutral","294","-2569"
"Neutral","915","-2605"
"Neutral","1194","3346"
"Neutral","-280","254"
"Neutral","2515","1603"
"Neutral","-810","2202"
"TradeUnion","780","176"
"Neutral","-1636","1371"
"Neutral","-18","2948"
"Neutral","804","1562"
"Neutral","-1341","1647"
"Lycentian","-781","-555"
"Neutral","-2002","1627"
"Neutral","2527","-235"
"Neutral","2703","1465"
"Neutral","284","-1773"
"Neutral","-1737","-1291"
"Neutral","-399","-2405"
"Neutral","2276","255"
"Neutral","1250","2627"
"Neutral","-1534","-514"
"Foralkan","1142","-595"
"Neutral","-2933","-689"
"Neutral","384","2994"
"Neutral","1669","985"
"Kavani","93","1101"
"Neutral","-2151","269"
"Neutral","-1677","634"
"Neutral","-2429","1937"
"Neutral","2710","909"
"Neutral","-2729","-1545"
"Neutral","-155","-2539"
"Neutral","810","-2009"
"Neutral","1515","-133"
"Neutral","3580","-264"
"Neutral","291","3278"
"Neutral","-451","-2088"
"Neutral","-2278","1894"
"Neutral","-2151","2542"
"Neutral","-1074","915"
"Neutral","-2273","1382"
"Neutral","2605","-894"
"Neutral","3373","-619"
"Neutral","-1651","-1064"
"Neutral","-499","1065"
"Neutral","-1477","-988"
"Neutral","787","-3015"
"Neutral","136","2096"
"Syndicate","-1784","831"
"Neutral","-1072","2238"
"Neutral","-1016","-2270"
"Neutral","2574","-1183"
"Neutral","-180","-159"
"Neutral","-2569","-287"
"Neutral","3285","941"
"Neutral","1907","-1236"
"Neutral","-678","-1879"
"Foralkan","1438","-1015"
"Neutral","1131","-1711"
"Neutral","-2099","-1517"
"Neutral","-410","-1266"
"Neutral","-201","960"
"Foralkan","839","-745"
"Neutral","1788","-2148"
"Neutral","-2849","895"
"Neutral","-168","572"
"Neutral","507","2529"
"Neutral","-3097","-8"
"Neutral","-614","-2548"
"Neutral","1167","-1518"
"Neutral","412","-2923"
"Neutral","1219","2263"
"Neutral","-1492","2919"
"Neutral","-734","1287"
"Neutral","-1091","2057"
"Neutral","626","1723"
"Neutral","1880","-951"
"Neutral","1907","2080"
"Neutral","-1909","687"
"Neutral","1050","-3051"
"Neutral","1504","2041"
"Neutral","-1310","1042"
"Neutral","33","789"
"Neutral","1256","2180"
"Neutral","-700","-2116"
"Neutral","-1041","-1612"
"Neutral","1202","2577"
"Neutral","-1655","-2175"
"Lycentian","-840","-71"
"Neutral","2221","-511"
"Neutral","-1377","-1475"
